02:00:30.80 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.06 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.07 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:01:15.07 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:01:47.44 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:01:47.45 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:02:03.78 | SUCCESS | utils.starter:stats:97 | Сохранена статистика в statistics/statistics_2024-09-12-02-02-03.csv
02:02:24.56 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:02:24.56 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:02:24.56 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:02:56.93 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:02:56.93 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:03:06.95 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:07.09 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:07.41 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:07.52 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:08.91 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:08.93 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:09.26 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:09.83 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:10.05 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:10.08 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:10.13 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:11.26 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:11.57 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:12.04 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:12.08 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:12.21 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:12.48 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:12.66 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:12.81 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:12.90 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:13.06 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:14.41 | WARNING | utils.starter:start:31 | Thread 9 | main.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:14.74 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:14.89 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:15.06 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:15.16 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:15.28 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подписаться на OKX в Twitter» и получено 750 очков
02:03:15.46 | WARNING | utils.starter:start:31 | Thread 7 | 8.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:15.77 | WARNING | utils.starter:start:31 | Thread 2 | 2.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:15.81 | WARNING | utils.starter:start:31 | Thread 6 | 7.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:16.62 | WARNING | utils.starter:start:31 | Thread 0 | 1.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:17.42 | WARNING | utils.starter:start:31 | Thread 4 | 4.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:17.73 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:17.78 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:18.12 | WARNING | utils.starter:start:31 | Thread 1 | 10.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:18.15 | WARNING | utils.starter:start:31 | Thread 8 | 9.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:18.38 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:18.39 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подписаться на новостной канал» и получено 750 очков
02:03:18.68 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:18.85 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:19.11 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:20.14 | WARNING | utils.starter:start:31 | Thread 9 | main.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:20.24 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:20.69 | WARNING | utils.starter:start:31 | Thread 5 | 5.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:20.70 | WARNING | utils.starter:start:31 | Thread 3 | 3.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:20.96 | WARNING | utils.starter:start:31 | Thread 7 | 8.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:21.16 | WARNING | utils.starter:start:31 | Thread 6 | 7.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:21.19 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:21.39 | WARNING | utils.starter:start:31 | Thread 2 | 2.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:21.40 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:21.75 | WARNING | utils.starter:start:31 | Thread 0 | 1.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:22.85 | WARNING | utils.starter:start:31 | Thread 4 | 4.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:22.94 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:23.06 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:23.63 | WARNING | utils.starter:start:31 | Thread 8 | 9.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:23.74 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Подписаться на кошелек OKX в X» и получено 1000 очков
02:03:24.00 | WARNING | utils.starter:start:31 | Thread 1 | 10.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:24.18 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:24.22 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:24.30 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:24.91 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:25.29 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:26.19 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:26.25 | WARNING | utils.starter:start:31 | Thread 3 | 3.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:26.69 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:26.73 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:26.93 | WARNING | utils.starter:start:31 | Thread 5 | 5.session | Не удалось завершить задачу «Подключить кошелек OKX»
02:03:27.18 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:27.25 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:27.48 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:27.50 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:28.38 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:29.05 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:29.15 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:29.24 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:29.27 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:29.58 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:29.91 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:30.01 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Изучайте TON в Cryptopedia» и получено 2000 очков
02:03:30.03 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:30.31 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
